id,ancestor_list,origin_time,src,src_args,num_units,total_units,length,merit,gest_time,fitness,gen_born,update_born,update_deactivated,depth,hw_type,inst_set,sequence,cells,gest_offset,lineage
36208348,[36204828],199989,div:int,(none),1,2,107,202,211,0.957346,32096,199989,-1,4843,0,heads_default,phswjagcnxilpryoayzAutsAwdobjmmuhjhcaxqhyzhqBapapyecuuccycvoxuyzyvqrbufBovumwvrcwxuoexrxzvvvvvfcxvvgapkxwja,['628'],['208'],['0']
36208256,[36203647],199988,div:int,(none),1,1,105,208,250,0.832,32077,199988,-1,4853,0,heads_default,gcyqitzAamyjwjagcijrtclpjucocnytwpmuiuodetxrpmbmzozBupayvyecuxwcyccjuypcdurotnoxtqefvnmAcbAbzvvvtvfcxvvga,['638'],['177'],['0']
36208670,[36204988],199991,div:int,(none),1,1,96,188,285,0.659649,32064,199991,-1,4819,0,heads_default,qrfwjagczBpwssnAxjofuwxxcnmhatoAzbejynjefBzjpayxecuAycycjquywxejilzpnnecqtBucnasicszvvvvifcxvvga,['670'],['14'],['0']
36208601,[36206090],199990,div:int,(none),1,1,104,190,210,0.904762,32073,199990,-1,4828,0,heads_default,gcxwjaAeqrgctjkalrBjjfleqyczjatntdxpwypqoaBzmpayxecuhpcycjbuylqsjcfzljtancsnAmebpqnkuzvvvvvfcxvvgagcxwja,['697'],['160'],['0']
36206002,[36196207],199977,div:int,(none),1,1,105,97,193,0.502591,32096,199977,-1,4843,0,heads_default,akBwjagchxqneoucaybaluenBizbpbzaraxlkbByzscBjpapyecuAicycvobumzhvdrawcyuwqyybvBktoerswzvvvvvfcxvvgaxkjwia,['710'],['93'],['0']
36206531,[36189221],199980,div:int,(none),2,4,99,194,195,0.994872,32078,199980,-1,4842,0,heads_default,akawjagcltwAAphdajzszxwzzhkbbpbpqbacjdznrzsmBapayecubicycvoAuyibAddxbjfjoadlvvkkjyrtpczvvvvvfcxvvga,"['924', '3244']","['66', '66']","['0', '0']"
36206370,[36200640],199979,div:int,(none),1,1,101,100,221,0.452489,32069,199979,-1,4830,0,heads_default,AxwjagcrvBxhabcohbaApkwAfAppntkAAxBrkjvmfzluBpalyyecuAdBvjcmauyrnkpmrrxkfnkrpjywbxpbtvpazvvvvvfcxvvga,['949'],['106'],['0']
36205496,[36198061],199974,div:int,(none),2,4,111,220,232,0.948276,32069,199974,-1,4863,0,heads_default,AiiojacfjrtzAaycjwjagcijrepnvbcBwnyBxpmwsnolAaypbmzozBupawweyecuxwccyccjuypldwurrotnnutqpfromjcrybzvvvvvfcxvvga,"['1012', '2899']","['231', '39']","['0', '0']"
36202368,[36190906],199958,div:int,(none),3,10,96,188.286,194.143,0.969827,32069,199958,-1,4820,0,heads_default,faAwjagctydyouwteiyrakicmnqailtblaroymziozBypaxxecufdwycAbuyslntezAiiAicicpAbcsqfzjzvvvvvfcxvvga,"['1024', '2433', '3453']","['193', '160', '160']","['0', '0', '0']"
36195859,[36184455],199925,div:int,(none),1,6,124,179.467,222.733,0.805742,32063,199925,-1,4820,0,heads_default,xkxwjagcobodlmooelBbazibeBdradkqucxmjcuzuBpayjecuojcycxxuyblsdsynbAycjceqxnbrnwbjBzvvvvvfcxvvgaxkxwtagcobodlmooclBbazibetdra,['1029'],['61'],['0']
